index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,8,,3,3,3,
3,2,,,,3,,,
4,,,10,,,,3,
5,,6,,,,3,,
6,5,,12,,3,,3,
7,,8,13,,,3,3,
8,7,9,14,2,3,3,3,3
9,8,10,15,,3,3,3,
10,9,11,16,4,3,3,3,3
11,10,,17,,3,,4,
12,,,18,6,,,3,3
13,,,19,7,,,3,3
14,,,20,8,,,3,3
15,,,21,9,,,3,3
16,,,22,10,,,3,3
17,,,,11,,,,4
18,,,24,12,,,3,3
19,,,25,13,,,3,3
20,,,,14,,,,3
21,,,27,15,,,3,3
22,,23,,16,,3,,3
23,22,24,29,,3,3,3,
24,23,,,18,3,,,3
25,,,31,19,,,3,3
26,,,32,,,,3,
27,,,33,21,,,3,3
28,,29,34,,,3,4,
29,28,30,35,23,3,3,3,3
30,29,,,,3,,,
31,,32,37,25,,3,3,3
32,31,,,26,3,,,3
33,,,39,27,,,3,3
34,,,,28,,,,4
35,,36,41,29,,3,3,3
36,35,,42,,3,,3,
37,,38,43,31,,3,3,3
38,37,39,,,3,3,,
39,38,40,45,33,3,3,3,3
40,39,41,,,3,3,,
41,40,42,47,35,3,3,3,3
42,41,,,36,3,,,3
43,,,,37,,,,3
44,,45,,,,3,,
45,44,,,39,3,,,3
46,,47,,,,3,,
47,46,48,,41,3,3,,3
48,47,,,,3,,,
